name,link,networks
ftx token,https://coinmarketcap.com//currencies/ftx-token/,"{'etherscan': 'https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9', 'explorer': 'https://explorer.solana.com/address/AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3', 'blockchair': 'https://blockchair.com/ethereum/erc-20/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9', 'eth': 'https://eth.tokenview.com/en/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9', 'source_code"":': 'source_code"":'}"
the graph,https://coinmarketcap.com//currencies/the-graph/,"{'etherscan': 'https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7', 'thegraph': 'https://thegraph.com/explorer/', 'avascan': 'https://avascan.info/blockchain/c/token/0x8a0cAc13c7da965a312f08ea4229c37869e85cB9', 'solscan': 'https://solscan.io/token/HGsLG4PnZ28L8A4R5nPqKgZd86zUUdmfnkTRnuFJ5dAX', 'arbiscan': 'https://arbiscan.io/token/0x9623063377AD1B27544C965cCd7342f7EA7e88C7'}"
injective,https://coinmarketcap.com//currencies/injective/,"{'explorer': 'https://explorer.injective.network', 'etherscan': 'https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30'}"
arbitrum,https://coinmarketcap.com//currencies/arbitrum/,"{'arbiscan': 'https://arbiscan.io/token/0x912CE59144191C1204E64559FE8253a0e49E6548', 'etherscan': 'https://etherscan.io/token/0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1', 'nova-explorer': 'https://nova-explorer.arbitrum.io/token/0xf823C3cD3CeBE0a1fA952ba88Dc9EEf8e0Bf46AD/token-transfers', 'www': 'https://www.oklink.com/arbitrum/token/0x912ce59144191c1204e64559fe8253a0e49e6548', 'source_code"":': 'source_code"":'}"
binance usd,https://coinmarketcap.com//currencies/binance-usd/,"{'etherscan': 'https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53', 'bscscan': 'https://bscscan.com/token/0xe9e7cea3dedca5984780bafc599bd69add087d56', 'explorer': 'https://explorer.binance.org/asset/BUSD-BD1', 'snowtrace': 'https://snowtrace.io/token/0x9C9e5fD8bbc25984B178FdCE6117Defa39d2db39', 'polygonscan': 'https://polygonscan.com/token/0x9C9e5fD8bbc25984B178FdCE6117Defa39d2db39'}"
aave,https://coinmarketcap.com//currencies/aave/,"{'etherscan': 'https://etherscan.io/token/0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9', 'explorer-mainnet': 'https://explorer-mainnet.maticvigil.com/tokens/0xd6df932a45c0f255f85145f286ea0b292b21c90b/token-transfers', 'scan': 'https://scan.hecochain.com/address/0x202b4936fe1a82a4965220860ae46d7d3939bb25', 'ftmscan': 'https://ftmscan.com/token/0x6a07A792ab2965C72a5B8088d3a069A7aC3a993B', 'blockscout': 'https://blockscout.com/xdai/mainnet/tokens/0xDF613aF6B44a31299E48131e9347F034347E2F00/token-transfers'}"
celestia,https://coinmarketcap.com//currencies/celestia/,"{'celestiascan': 'https://celestiascan.com', 'celenium': 'https://celenium.io/', 'www': 'https://www.mintscan.io/celestia', 'explorer': 'https://explorer.modular.cloud/'}"
multiversx egld,https://coinmarketcap.com//currencies/multiversx-egld/,"{'explorer': 'https://explorer.multiversx.com/', 'bscscan': 'https://bscscan.com/token/0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe', 'egldscan': 'https://egldscan.com/', 'elrondmonitor': 'https://elrondmonitor.com', 'elrond': 'https://elrond.bigdipper.live/'}"
quant,https://coinmarketcap.com//currencies/quant/,"{'etherscan': 'https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675', 'ethplorer': 'https://ethplorer.io/address/0x4a220e6096b25eadb88358cb44068a3248254675'}"
stacks,https://coinmarketcap.com//currencies/stacks/,{'explorer': 'https://explorer.stacks.co'}
render,https://coinmarketcap.com//currencies/render/,"{'etherscan': 'https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24', 'www': 'https://www.oklink.com/cn/eth/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24', 'explorer': 'https://explorer.solana.com/address/rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof', 'source_code"":': 'source_code"":'}"
maker,https://coinmarketcap.com//currencies/maker/,"{'etherscan': 'https://etherscan.io/token/Maker', 'www': 'https://www.oklink.com/eth/token/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', 'blockchair': 'https://blockchair.com/ethereum/erc-20/token/0xda27b988921a0659bceac1abd4b43a295c8296f4', 'eth': 'https://eth.tokenview.com/en/token/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2', 'avascan': 'https://avascan.info/blockchain/c/token/0x88128fd4b259552A9A1D457f435a6527AAb72d42'}"
flow,https://coinmarketcap.com//currencies/flow/,"{'www': 'https://www.oklink.com/eth/token/0x5c147e74D63B1D31AA3Fd78Eb229B65161983B2b', 'etherscan': 'https://etherscan.io/token/0x5c147e74d63b1d31aa3fd78eb229b65161983b2b'}"
fantom,https://coinmarketcap.com//currencies/fantom/,"{'ftmscan': 'https://ftmscan.com/', 'explorer': 'https://explorer.binance.org/asset/FTM-A64', 'etherscan': 'https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870', 'solscan': 'https://solscan.io/token/8gC27rQF4NEDYfyf5aS8ZmQJUum5gufowKGYRRba4ENN'}"
theta network,https://coinmarketcap.com//currencies/theta-network/,{'explorer': 'https://explorer.thetatoken.org/'}
synthetix,https://coinmarketcap.com//currencies/synthetix/,"{'etherscan': 'https://etherscan.io/token/0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f', 'bscscan': 'https://bscscan.com/token/0x9ac983826058b8a9c7aa1c9171441191232e8404', 'solscan': 'https://solscan.io/token/8cTNUtcV2ueC3royJ642uRnvTxorJAWLZc58gxAo7y56', 'hecoinfo': 'https://hecoinfo.com/token/0x777850281719d5a96c29812ab72f822e0e09f3da', 'ftmscan': 'https://ftmscan.com/token/0x56ee926bD8c72B2d5fa1aF4d9E4Cbb515a1E3Adc', 'source_code"":': 'source_code"":'}"
terra luna,https://coinmarketcap.com//currencies/terra-luna/,"{'finder': 'https://finder.terra.money/', 'terra': 'https://terra.stake.id/#/', 'hubble': 'https://hubble.figment.network/terra/chains/columbus-3', 'solscan': 'https://solscan.io/token/F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W', 'etherscan': 'https://etherscan.io/token/0xbd31EA8212119f94A611FA969881CBa3EA06Fa3d'}"
ordi,https://coinmarketcap.com//currencies/ordi/,"{'': '', 'source_code"":': 'source_code"":'}"
the sandbox,https://coinmarketcap.com//currencies/the-sandbox/,"{'etherscan': 'https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0', 'solscan': 'https://solscan.io/token/49c7WuCZkQgc3M4qH8WuEUNXfgwupZf1xqWkDQ7gjRGt', 'polygonscan': 'https://polygonscan.com/token/0xBbba073C31bF03b8ACf7c28EF0738DeCF3695683', 'www': 'https://www.oklink.com/cn/eth/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0', 'source_code"":': 'source_code"":'}"
first digital usd,https://coinmarketcap.com//currencies/first-digital-usd/,"{'etherscan': 'https://etherscan.io/token/0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409', 'bscscan': 'https://bscscan.com/token/0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409', 'source_code"":': 'source_code"":'}"
